MPRN,Meter Serial Number,Read Value,Read Type,Read Date and End Time
100109xxxxx,223xxxxx,10264.209,24 Hr Active Import Register (kWh),07/12/2025 00:00
100109xxxxx,223xxxxx,0,24 Hr Active Export Register (kWh),07/12/2025 00:00
100109xxxxx,223xxxxx,10256.147,24 Hr Active Import Register (kWh),06/12/2025 00:00
100109xxxxx,223xxxxx,0,24 Hr Active Export Register (kWh),06/12/2025 00:00
100109xxxxx,223xxxxx,10248.484,24 Hr Active Import Register (kWh),05/12/2025 00:00
100109xxxxx,223xxxxx,0,24 Hr Active Export Register (kWh),05/12/2025 00:00
100109xxxxx,223xxxxx,10239.189,24 Hr Active Import Register (kWh),04/12/2025 00:00
100109xxxxx,223xxxxx,0,24 Hr Active Export Register (kWh),04/12/2025 00:00
100109xxxxx,223xxxxx,10231.011,24 Hr Active Import Register (kWh),03/12/2025 00:00
100109xxxxx,223xxxxx,0,24 Hr Active Export Register (kWh),03/12/2025 00:00
100109xxxxx,223xxxxx,10220.95,24 Hr Active Import Register (kWh),02/12/2025 00:00
100109xxxxx,223xxxxx,0,24 Hr Active Export Register (kWh),02/12/2025 00:00
100109xxxxx,223xxxxx,10211.639,24 Hr Active Import Register (kWh),01/12/2025 00:00
100109xxxxx,223xxxxx,0,24 Hr Active Export Register (kWh),01/12/2025 00:00
100109xxxxx,223xxxxx,10204.414,24 Hr Active Import Register (kWh),30/11/2025 00:00
100109xxxxx,223xxxxx,0,24 Hr Active Export Register (kWh),30/11/2025 00:00
100109xxxxx,223xxxxx,10195.656,24 Hr Active Import Register (kWh),29/11/2025 00:00
100109xxxxx,223xxxxx,0,24 Hr Active Export Register (kWh),29/11/2025 00:00
100109xxxxx,223xxxxx,10181.841,24 Hr Active Import Register (kWh),28/11/2025 00:00
100109xxxxx,223xxxxx,0,24 Hr Active Export Register (kWh),28/11/2025 00:00
100109xxxxx,223xxxxx,10173.743,24 Hr Active Import Register (kWh),27/11/2025 00:00
100109xxxxx,223xxxxx,0,24 Hr Active Export Register (kWh),27/11/2025 00:00
100109xxxxx,223xxxxx,10165.621,24 Hr Active Import Register (kWh),26/11/2025 00:00
100109xxxxx,223xxxxx,0,24 Hr Active Export Register (kWh),26/11/2025 00:00
100109xxxxx,223xxxxx,10159.386,24 Hr Active Import Register (kWh),25/11/2025 00:00
100109xxxxx,223xxxxx,0,24 Hr Active Export Register (kWh),25/11/2025 00:00
100109xxxxx,223xxxxx,10144.975,24 Hr Active Import Register (kWh),24/11/2025 00:00
100109xxxxx,223xxxxx,0,24 Hr Active Export Register (kWh),24/11/2025 00:00
100109xxxxx,223xxxxx,10136.02,24 Hr Active Import Register (kWh),23/11/2025 00:00
100109xxxxx,223xxxxx,0,24 Hr Active Export Register (kWh),23/11/2025 00:00
100109xxxxx,223xxxxx,10128.659,24 Hr Active Import Register (kWh),22/11/2025 00:00
100109xxxxx,223xxxxx,0,24 Hr Active Export Register (kWh),22/11/2025 00:00
100109xxxxx,223xxxxx,10116.907,24 Hr Active Import Register (kWh),21/11/2025 00:00
100109xxxxx,223xxxxx,0,24 Hr Active Export Register (kWh),21/11/2025 00:00
